PO_ID,PO_Date,Supplier,Category,Quantity_Ordered,Unit_Cost,PO_Value,Promised_Delivery_Days,Actual_Delivery_Days,On_Time,Late_Days,Opening_Stock,Demand_Units,Received_Units,Closing_Stock,Stockout
PO100000,2025-07-21,Supplier_13,Office Supplies,10,233.42,2334.2,6,7,Yes,1,228,18,10,220,No
PO100001,2025-05-07,Supplier_03,Electronics,1,51.69,51.69,4,6,No,2,102,56,1,0,Yes
PO100002,2025-11-04,Supplier_01,Electronics,2,68.22,136.44,7,9,No,2,493,42,2,453,No
PO100003,2025-03-21,Supplier_10,Office Supplies,7,273.55,1914.85,8,7,Yes,0,459,10,7,456,No
PO100004,2025-07-05,Supplier_06,Electronics,15,488.81,7332.15,8,16,No,8,325,48,15,292,No
PO100005,2025-06-28,Supplier_08,Home & Kitchen,5,435.44,2177.2,4,12,No,8,114,27,5,92,No
PO100006,2025-08-14,Supplier_02,Electronics,15,69.25,1038.75,9,13,No,4,427,48,15,394,No
PO100007,2025-08-03,Supplier_06,Office Supplies,13,334.34,4346.42,9,10,Yes,1,379,19,13,373,No
PO100008,2025-05-11,Supplier_10,Electronics,17,414.67,7049.39,4,4,Yes,0,290,32,17,0,Yes
PO100009,2025-10-02,Supplier_06,Home & Kitchen,10,385.35,3853.5,8,8,Yes,0,311,30,10,291,No
PO100010,2025-08-08,Supplier_13,Office Supplies,6,145.15,870.9,5,16,No,11,216,21,6,201,No
PO100011,2025-08-22,Supplier_12,Home & Kitchen,8,499.24,3993.92,3,5,No,2,461,27,8,442,No
PO100012,2025-08-15,Supplier_11,Electronics,3,148.06,444.18,10,9,Yes,0,209,50,3,0,Yes
PO100013,2025-07-05,Supplier_14,Office Supplies,5,482.23,2411.15,9,18,No,9,129,17,5,117,No
PO100014,2025-08-20,Supplier_11,Office Supplies,17,206.99,3518.83,4,9,No,5,495,24,17,488,No
PO100015,2025-12-16,Supplier_03,Home & Kitchen,5,206.72,1033.6,10,11,Yes,1,201,26,5,180,No
PO100016,2025-11-27,Supplier_13,Electronics,6,369.38,2216.28,4,4,Yes,0,73,48,6,0,Yes
PO100017,2025-05-07,Supplier_10,Office Supplies,10,338.73,3387.3,5,14,No,9,73,15,10,68,No
PO100018,2025-08-06,Supplier_02,Office Supplies,6,443.34,2660.04,7,9,No,2,332,22,6,316,No
PO100019,2025-02-05,Supplier_05,Home & Kitchen,5,464.64,2323.2,9,10,Yes,1,288,29,5,264,No
PO100020,2025-08-25,Supplier_03,Electronics,7,159.3,1115.1,4,7,No,3,400,41,7,366,No
PO100021,2025-12-26,Supplier_15,Office Supplies,6,141.44,848.64,4,13,No,9,161,10,6,157,No
PO100022,2025-03-22,Supplier_11,Electronics,8,419.6,3356.8,9,11,No,2,317,42,8,0,Yes
PO100023,2025-09-07,Supplier_14,Electronics,12,107.02,1284.24,6,9,No,3,339,38,12,0,Yes
PO100024,2025-03-10,Supplier_05,Office Supplies,1,160.51,160.51,3,12,No,9,479,16,1,464,No
PO100025,2025-08-23,Supplier_10,Home & Kitchen,12,404.89,4858.68,8,8,Yes,0,199,28,12,183,No
PO100026,2025-02-27,Supplier_10,Electronics,7,441.48,3090.36,7,10,No,3,131,43,7,0,Yes
PO100027,2025-02-09,Supplier_12,Home & Kitchen,15,121.28,1819.2,9,17,No,8,392,24,15,383,No
PO100028,2025-03-25,Supplier_02,Office Supplies,11,404.32,4447.52,10,19,No,9,494,24,11,481,No
PO100029,2025-10-14,Supplier_08,Office Supplies,12,283.67,3404.04,6,9,No,3,234,20,12,226,No
PO100030,2025-12-30,Supplier_10,Electronics,1,415.99,415.99,8,8,Yes,0,254,39,1,0,Yes
PO100031,2025-08-03,Supplier_13,Electronics,14,93.26,1305.64,10,9,Yes,0,84,41,14,57,No
PO100032,2025-05-27,Supplier_10,Electronics,8,65.83,526.64,7,8,No,1,166,48,8,0,Yes
PO100033,2025-07-18,Supplier_07,Electronics,15,421.71,6325.65,8,12,No,4,59,40,15,0,Yes
PO100034,2025-11-11,Supplier_07,Electronics,1,226.54,226.54,10,17,No,7,204,44,1,0,Yes
PO100035,2025-07-24,Supplier_06,Electronics,3,86.3,258.9,3,8,No,5,302,57,3,248,No
PO100036,2025-02-24,Supplier_03,Office Supplies,16,391.46,6263.36,4,10,No,6,206,23,16,199,No
PO100037,2025-04-17,Supplier_05,Home & Kitchen,2,447.24,894.48,10,13,No,3,365,33,2,334,No
PO100038,2025-08-29,Supplier_03,Electronics,17,388.06,6597.02,9,12,No,3,148,40,17,0,Yes
PO100039,2025-04-26,Supplier_04,Office Supplies,12,55.41,664.92,10,15,No,5,334,36,12,310,No
PO100040,2025-06-15,Supplier_13,Home & Kitchen,8,287.48,2299.84,10,9,Yes,0,32,30,8,0,Yes
PO100041,2025-07-28,Supplier_08,Electronics,1,357.88,357.88,7,6,Yes,0,342,41,1,302,No
PO100042,2025-10-01,Supplier_02,Home & Kitchen,11,73.43,807.73,4,7,No,3,354,26,11,339,No
PO100043,2025-04-16,Supplier_07,Electronics,2,476.87,953.74,8,18,No,10,213,44,2,0,Yes
PO100044,2025-10-17,Supplier_05,Electronics,9,120.92,1088.28,8,9,Yes,1,42,57,9,0,Yes
PO100045,2025-10-31,Supplier_10,Office Supplies,4,336.58,1346.32,6,6,Yes,0,165,25,4,144,No
PO100046,2025-04-20,Supplier_13,Electronics,8,186.84,1494.72,6,5,Yes,0,321,49,8,280,No
PO100047,2025-10-06,Supplier_01,Home & Kitchen,15,481.24,7218.6,3,2,Yes,0,151,30,15,136,No
PO100048,2025-04-03,Supplier_07,Home & Kitchen,17,261.16,4439.72,6,4,Yes,0,497,30,17,484,No
PO100049,2025-01-06,Supplier_07,Office Supplies,7,411.65,2881.55,6,4,Yes,0,317,22,7,0,Yes
PO100050,2025-05-08,Supplier_15,Electronics,16,26.13,418.08,9,8,Yes,0,242,46,16,0,Yes
PO100051,2025-03-07,Supplier_06,Office Supplies,1,297.51,297.51,4,11,No,7,62,23,1,40,No
PO100052,2025-07-25,Supplier_03,Home & Kitchen,1,166.83,166.83,8,7,Yes,0,254,36,1,219,No
PO100053,2025-12-13,Supplier_03,Office Supplies,12,321.59,3859.08,5,15,No,10,126,23,12,115,No
PO100054,2025-06-03,Supplier_08,Electronics,3,204.59,613.77,8,9,Yes,1,310,40,3,0,Yes
PO100055,2025-01-15,Supplier_09,Electronics,6,197.83,1186.98,4,12,No,8,156,45,6,0,Yes
PO100056,2025-09-16,Supplier_05,Electronics,18,239.54,4311.72,3,1,Yes,0,74,43,18,0,Yes
PO100057,2025-10-26,Supplier_07,Office Supplies,6,244.69,1468.14,5,3,Yes,0,271,21,6,256,No
PO100058,2025-01-11,Supplier_10,Electronics,4,378.02,1512.08,9,8,Yes,0,100,45,4,0,Yes
PO100059,2025-08-07,Supplier_05,Electronics,14,386.81,5415.34,4,5,Yes,1,463,37,14,0,Yes
PO100060,2025-11-16,Supplier_15,Home & Kitchen,20,128.68,2573.6,10,9,Yes,0,292,28,20,284,No
PO100061,2025-12-01,Supplier_04,Office Supplies,10,458.44,4584.4,4,4,Yes,0,262,22,10,250,No
PO100062,2025-09-26,Supplier_15,Home & Kitchen,19,468.3,8897.7,9,8,Yes,0,311,25,19,0,Yes
